Date,Time,WOPR,WWPR,WGPR,GOR,WBHP
2017-04-27,666,502.3,13.5,0.317,631,240
2017-04-28,667,500.4,13,0.313,625,239
2017-04-29,668,503,12.5,0.313,622,239
2017-04-30,669,500.1,13.7,0.313,626,239
2017-05-01,670,501.6,13,0.313,624,239
2017-05-02,671,501.9,13.3,0.314,626,239
2017-05-03,672,503.3,12.8,0.314,624,239
2017-05-04,673,502.1,14.5,0.309,615,239
2017-05-05,674,502.9,13.5,0.311,618,239
2017-05-06,675,501.5,13.2,0.314,626,239
2017-05-07,676,501,13.1,0.317,633,238
2017-05-08,677,502.2,12.7,0.319,635,238
2017-05-09,678,501.3,12.8,0.320,638,238
2017-05-10,679,501.9,12.4,0.319,636,238
2017-05-11,680,500.5,13.1,0.320,639,238
2017-05-12,681,500.9,12.7,0.319,637,238
2017-05-13,682,501.7,12.7,0.315,628,238
2017-05-14,683,500.3,12.1,0.319,638,238
2017-05-15,684,501.6,12.2,0.316,630,239
2017-05-16,685,502.4,12.5,0.314,625,239
2017-05-17,686,501.2,13.1,0.315,628,239
2017-05-18,687,501.3,12.4,0.313,624,240
2017-05-19,688,500.2,12.5,0.314,628,239
2017-05-20,689,503.1,11.5,0.311,618,241
2017-05-21,690,503.1,11.5,0.311,618,241
