Time,WOPR
5,1314
6,1321
7,1309
8,1299
9,1287
10,1286
27,1338
28,1336
29,1325
30,1318
31,1326
32,1319
33,1311
34,1307
35,1280
36,1275
37,1300
38,1286
39,1298
40,1275
41,1260
42,1261
43,1258
44,1262
45,1255
46,1251
47,1253
48,1237
49,1241
50,1238
51,1235
52,1242
53,1239
54,1235
55,1234
56,1229
57,1233
58,1228
59,1224
60,1220
61,1222
62,1219
63,1215
64,1217
65,1220
66,1211
67,1208
68,1205
69,1218
70,1187
71,1190
72,1191
73,1189
74,1187
75,1188
76,1182
77,1180
78,1181
79,1177
80,1171
81,1170
82,1168
83,1186
84,1185
85,1161
86,1185
87,1199
88,1177
89,1162
90,1182
91,1162
92,1150
93,1165
94,1158
95,1151
96,1159
97,1183
98,1161
99,1156
100,1160
101,1158
102,1162
103,1170
104,1164
105,1178
106,1163
107,1156
108,1172
109,1147
110,1153
111,1159
112,1147
113,1153
114,1139
115,1146
116,1140
117,1141
149,1073
150,1087
151,1069
152,1076
153,1093
156,1082
157,1071
159,1070
160,1065
161,1068
162,1067
163,1054
164,1061
165,1062
166,1073
168,1048
169,1049
170,1045
171,1039
172,1044
173,1030
174,1037
175,1025
176,1030
177,1032
178,1011
179,1016
180,1013
181,1007
182,1020
183,1007
184,1014
185,1012
186,1014
187,1003
188,1008
189,1001
190,1005
191,1002
192,1004
193,1003
194,1000
195,968
196,994
197,972
198,968
199,982
200,984
201,955
202,966
203,961
204,964
205,969
206,961
207,962
208,956
209,979
210,948
211,952
212,963
213,953
214,962
215,954
216,941
217,958
218,940
219,926
220,927
221,941
222,938
223,939
224,926
225,957
226,946
227,940
228,919
229,931
230,915
231,931
232,947
233,929
234,940
235,925
236,930
237,944
238,923
239,933
240,928
241,919
242,927
243,924
244,917
245,928
246,910
247,909
248,923
249,911
250,920
251,906
252,909
253,902
254,900
255,901
256,894
257,900
258,905
259,907
260,900
261,901
262,900
263,903
264,901
265,901
266,903
267,901
268,903
269,902
270,901
271,900
272,901
273,899
274,902
275,901
276,904
277,902
278,901
279,903
280,902
281,901
282,902
283,900
284,902
285,900
286,899
287,901
288,897
289,895
290,897
291,900
292,900
293,898
294,894
295,896
296,894
297,897
298,893
299,891
300,892
301,892
302,890
303,889
304,891
305,889
306,885
307,878
308,870
309,866
310,867
311,860
312,861
313,858
314,859
315,855
316,856
317,850
318,852
319,848
320,849
321,846
322,842
323,840
324,838
325,837
326,835
327,835
328,831
329,829
330,824
331,820
332,819
333,815
334,812
335,808
336,806
337,806
338,804
339,802
340,802
341,801
342,802
343,798
344,800
345,801
346,800
347,798
348,797
349,797
350,795
351,780
352,760
353,754
354,752
355,752
356,747
357,746
358,745
359,744
360,747
361,748
362,746
363,742
364,742
365,743
366,744
367,742
368,745
369,746
370,747
371,746
372,745
373,745
374,743
375,741
376,743
377,745
378,745
379,742
380,741
381,738
382,740
383,740
384,738
385,738
386,739
387,736
388,730
389,731
390,731
391,728
392,722
393,719
394,715
395,716
396,714
397,713
398,715
399,716
400,716
401,715
402,713
403,714
404,712
405,709
406,710
407,705
408,704
409,705
410,703
411,701
412,700
413,703
414,700
415,702
416,700
417,704
418,698
419,695
420,692
421,686
422,687
423,685
424,689
425,691
426,689
427,653
428,660
429,662
430,660
431,661
432,658
433,659
436,413
437,454
438,646
439,669
440,667
441,668
442,667
443,670
444,668
445,666
446,666
447,666
448,667
449,665
450,665
451,663
452,661
453,658
454,654
455,650
456,645
457,642
458,636
459,640
460,640
461,641
462,634
463,636
464,630
465,631
466,629
467,631
468,625.2
469,624.2
470,627.3
471,623.7
472,628
473,629.7
474,627.9
475,630.8
476,627.9
477,622.4
478,624.1
479,622.8
480,617.2
481,617.9
482,626.4
483,627.2
484,626.9
485,624.8
486,623.7
487,621.6
488,621.7
489,620
490,622.1
491,619.8
492,618.8
493,613.9
494,618.2
495,615.3
496,616.8
497,616.9
498,612.3
499,614.8
500,610
501,608.9
505,598.8
506,597.8
507,595.2
508,598.7
509,595.4
510,596.2
511,596.7
512,595.6
514,594.3
515,588.3
516,586.1
517,587.4
518,590.8
519,588.7
520,588
521,585.4
522,586.4
523,584
524,585.1
525,583
526,585
527,583.1
528,589.2
529,588
530,589.2
531,588.3
532,587.4
533,588.1
534,585.7
535,586.1
536,584
537,585.1
538,582.4
539,582
540,584
541,580
542,578.9
543,578.5
544,577.3
545,576.5
546,575.4
547,574.4
548,572
549,569.7
550,567
551,564.1
552,564.7
553,566.4
554,565.1
555,568.2
556,567
557,567.7
558,566.7
559,563.9
560,565
561,562.6
562,563.9
563,562.4
564,563.1
565,560.7
566,562.7
567,562.6
568,560.6
569,561.1
570,559.8
571,561
572,560
573,561.4
574,559.3
575,557.4
576,557.4
577,556.3
578,556.9
579,555.2
580,557.3
581,556.1
582,554.9
583,552.6
584,549.8
585,550.9
586,549.2
587,548.3
588,547.4
589,546.2
590,545.1
591,543.1
592,541.2
593,538.1
594,539.1
595,539.9
596,538
597,539.4
598,538.4
599,540
600,539.6
601,539.5
602,538.9
603,539.3
604,537.9
605,536.3
606,535.8
607,539.1
608,539.2
609,537.9
610,537
611,536.7
612,536.1
613,536.2
614,537
615,535.5
616,535.1
617,533.1
618,532.2
619,531.4
620,530.1
621,529
622,530.2
623,528.2
624,527.9
625,526.1
626,523.2
627,523.8
628,524.2
629,523
630,523.3
631,525.2
632,525.1
633,524.2
634,526.4
635,524.2
636,523.1
637,523.8
638,523.6
639,521
640,519.3
641,519.2
642,520.1
643,520.4
644,519.1
645,518.9
646,517.1
647,513.9
648,514.7
649,514.6
650,513.5
651,512.8
652,512
653,510.2
654,509.1
655,508.2
656,508.1
657,508.6
658,507.3
659,508.1
660,507.4
661,506
662,507.1
663,505.1
664,504
665,503.3
666,502.3
667,500.4
668,503
669,500.1
670,501.6
671,501.9
672,503.3
673,502.1
674,502.9
675,501.5
676,501
677,502.2
678,501.3
