Date,Time,WOPR
2016-05-29,333,815
2016-05-30,334,812
2016-05-31,335,808
2016-06-01,336,806
2016-06-02,337,806
2016-06-03,338,804
2016-06-04,339,802
2016-06-05,340,802
2016-06-06,341,801
2016-06-07,342,802
2016-06-08,343,798
2016-06-09,344,800
2016-06-10,345,801
2016-06-11,346,800
2016-06-12,347,798
2016-06-13,348,797
2016-06-14,349,797
2016-06-15,350,795
2016-06-16,351,780
2016-06-17,352,760
2016-06-18,353,754
2016-06-19,354,752
2016-06-20,355,752
2016-06-21,356,747
2016-06-22,357,746
2016-06-23,358,745
2016-06-24,359,744
2016-06-25,360,747
2016-06-26,361,748
2016-06-27,362,746
2016-06-28,363,742
2016-06-29,364,742
2016-06-30,365,743
2016-07-01,366,744
2016-07-02,367,742
2016-07-03,368,745
2016-07-04,369,746
2016-07-05,370,747
2016-07-06,371,746
2016-07-07,372,745
2016-07-08,373,745
2016-07-09,374,743
2016-07-10,375,741
2016-07-11,376,743
2016-07-12,377,745
2016-07-13,378,745
2016-07-14,379,742
2016-07-15,380,741
2016-07-16,381,738
2016-07-17,382,740
2016-07-18,383,740
2016-07-19,384,738
2016-07-20,385,738
2016-07-21,386,739
2016-07-22,387,736
2016-07-23,388,730
2016-07-24,389,731
2016-07-25,390,731
2016-07-26,391,728
2016-07-27,392,722
2016-07-28,393,719
2016-07-29,394,715
2016-07-30,395,716
2016-07-31,396,714
2016-08-01,397,713
2016-08-02,398,715
2016-08-03,399,716
2016-08-04,400,716
2016-08-05,401,715
2016-08-06,402,713
2016-08-07,403,714
2016-08-08,404,712
2016-08-09,405,709
2016-08-10,406,710
2016-08-11,407,705
2016-08-12,408,704
2016-08-13,409,705
2016-08-14,410,703
2016-08-15,411,701
2016-08-16,412,700
2016-08-17,413,703
2016-08-18,414,700
2016-08-19,415,702
2016-08-20,416,700
2016-08-21,417,704
2016-08-22,418,698
2016-08-23,419,695
2016-08-24,420,692
2016-08-25,421,686
2016-08-26,422,687
2016-08-27,423,685
2016-08-28,424,689
2016-08-29,425,691
2016-08-30,426,689
2016-08-31,427,653
2016-09-01,428,660
2016-09-02,429,662
2016-09-03,430,660
2016-09-04,431,661
2016-09-05,432,658
2016-09-06,433,659
2016-09-09,436,413
2016-09-10,437,454
2016-09-11,438,646
2016-09-12,439,669
2016-09-13,440,667
2016-09-14,441,668
2016-09-15,442,667
2016-09-16,443,670
2016-09-17,444,668
2016-09-18,445,666
2016-09-19,446,666
2016-09-20,447,666
2016-09-21,448,667
2016-09-22,449,665
2016-09-23,450,665
2016-09-24,451,663
2016-09-25,452,661
2016-09-26,453,658
2016-09-27,454,654
2016-09-28,455,650
2016-09-29,456,645
2016-09-30,457,642
2016-10-01,458,636
2016-10-02,459,640
2016-10-03,460,640
2016-10-04,461,641
2016-10-05,462,634
2016-10-06,463,636
2016-10-07,464,630
2016-10-08,465,631
2016-10-09,466,629
2016-10-10,467,631
2016-10-11,468,625.2
2016-10-12,469,624.2
2016-10-13,470,627.3
2016-10-14,471,623.7
2016-10-15,472,628
2016-10-16,473,629.7
2016-10-17,474,627.9
2016-10-18,475,630.8
2016-10-19,476,627.9
2016-10-20,477,622.4
2016-10-21,478,624.1
2016-10-22,479,622.8
2016-10-23,480,617.2
2016-10-24,481,617.9
2016-10-25,482,626.4
2016-10-26,483,627.2
2016-10-27,484,626.9
2016-10-28,485,624.8
2016-10-29,486,623.7
2016-10-30,487,621.6
2016-10-31,488,621.7
2016-11-01,489,620
2016-11-02,490,622.1
2016-11-03,491,619.8
2016-11-04,492,618.8
2016-11-05,493,613.9
2016-11-06,494,618.2
2016-11-07,495,615.3
2016-11-08,496,616.8
2016-11-09,497,616.9
2016-11-10,498,612.3
2016-11-11,499,614.8
2016-11-12,500,610
2016-11-13,501,608.9
2016-11-17,505,598.8
2016-11-18,506,597.8
2016-11-19,507,595.2
2016-11-20,508,598.7
2016-11-21,509,595.4
2016-11-22,510,596.2
2016-11-23,511,596.7
2016-11-24,512,595.6
2016-11-26,514,594.3
2016-11-27,515,588.3
2016-11-28,516,586.1
2016-11-29,517,587.4
2016-11-30,518,590.8
2016-12-01,519,588.7
2016-12-02,520,588
2016-12-03,521,585.4
2016-12-04,522,586.4
2016-12-05,523,584
2016-12-06,524,585.1
2016-12-07,525,583
2016-12-08,526,585
2016-12-09,527,583.1
2016-12-10,528,589.2
2016-12-11,529,588
2016-12-12,530,589.2
2016-12-13,531,588.3
2016-12-14,532,587.4
2016-12-15,533,588.1
2016-12-16,534,585.7
2016-12-17,535,586.1
2016-12-18,536,584
2016-12-19,537,585.1
2016-12-20,538,582.4
2016-12-21,539,582
2016-12-22,540,584
2016-12-23,541,580
2016-12-24,542,578.9
2016-12-25,543,578.5
2016-12-26,544,577.3
2016-12-27,545,576.5
2016-12-28,546,575.4
2016-12-29,547,574.4
2016-12-30,548,572
2016-12-31,549,569.7
2017-01-01,550,567
2017-01-02,551,564.1
2017-01-03,552,564.7
2017-01-04,553,566.4
2017-01-05,554,565.1
2017-01-06,555,568.2
2017-01-07,556,567
2017-01-08,557,567.7
2017-01-09,558,566.7
2017-01-10,559,563.9
2017-01-11,560,565
2017-01-12,561,562.6
2017-01-13,562,563.9
2017-01-14,563,562.4
2017-01-15,564,563.1
2017-01-16,565,560.7
2017-01-17,566,562.7
2017-01-18,567,562.6
2017-01-19,568,560.6
2017-01-20,569,561.1
2017-01-21,570,559.8
2017-01-22,571,561
2017-01-23,572,560
2017-01-24,573,561.4
2017-01-25,574,559.3
2017-01-26,575,557.4
2017-01-27,576,557.4
2017-01-28,577,556.3
2017-01-29,578,556.9
2017-01-30,579,555.2
2017-01-31,580,557.3
2017-02-01,581,556.1
2017-02-02,582,554.9
2017-02-03,583,552.6
2017-02-04,584,549.8
2017-02-05,585,550.9
2017-02-06,586,549.2
2017-02-07,587,548.3
2017-02-08,588,547.4
2017-02-09,589,546.2
2017-02-10,590,545.1
2017-02-11,591,543.1
2017-02-12,592,541.2
2017-02-13,593,538.1
2017-02-14,594,539.1
2017-02-15,595,539.9
2017-02-16,596,538
2017-02-17,597,539.4
2017-02-18,598,538.4
2017-02-19,599,540
2017-02-20,600,539.6
2017-02-21,601,539.5
2017-02-22,602,538.9
2017-02-23,603,539.3
2017-02-24,604,537.9
2017-02-25,605,536.3
2017-02-26,606,535.8
2017-02-27,607,539.1
2017-02-28,608,539.2
2017-03-01,609,537.9
2017-03-02,610,537
2017-03-03,611,536.7
2017-03-04,612,536.1
2017-03-05,613,536.2
2017-03-06,614,537
2017-03-07,615,535.5
2017-03-08,616,535.1
2017-03-09,617,533.1
2017-03-10,618,532.2
2017-03-11,619,531.4
2017-03-12,620,530.1
2017-03-13,621,529
2017-03-14,622,530.2
2017-03-15,623,528.2
2017-03-16,624,527.9
2017-03-17,625,526.1
2017-03-18,626,523.2
2017-03-19,627,523.8
2017-03-20,628,524.2
2017-03-21,629,523
2017-03-22,630,523.3
2017-03-23,631,525.2
2017-03-24,632,525.1
2017-03-25,633,524.2
